file;our_time_ms;z3_time_ms;correct
pj2-tests/sat/bug339.smt2;83;3;true
pj2-tests/sat/constraints-tempo-depth-50.smt2;1336;40;true
pj2-tests/sat/constraints-tempo-matrix5x5.pddl.smt2;12068;78;true
pj2-tests/sat/constraints-temporal-machine-shop-2-3-A30.smt2;20256;36;true
pj2-tests/sat/d100.3.smt2;173147;174;true
pj2-tests/sat/d110.6.smt2;368673;186;true
pj2-tests/sat/d120.7.smt2;61330;166;true
pj2-tests/sat/d130.1.smt2;155059;151;true
pj2-tests/sat/d40.5.smt2;155219;156;true
pj2-tests/sat/d50.9.smt2;633956;156;true
pj2-tests/sat/d70.3.smt2;106935;151;true
pj2-tests/sat/d80.3.smt2;410274;171;true
pj2-tests/sat/d90.7.smt2;149808;151;true
pj2-tests/sat/fuzz_3_1.smt2;377;12;true
pj2-tests/sat/fuzz_3_13.smt2;476;7;true
pj2-tests/sat/fuzz_3_3.smt2;136;6;true
pj2-tests/sat/fuzz_3_4.smt2;319;7;true
pj2-tests/sat/fuzz_3_5.smt2;84;3;true
pj2-tests/sat/fuzz_3_6.smt2;186;6;true
pj2-tests/sat/fuzz_3_7.smt2;319;6;true
pj2-tests/sat/fuzz_5_2.smt2;1240;63;true
pj2-tests/sat/ite-lift.smt2;77;3;true
